iter	Passed	Remaining
1478	10177	24229
1479	10183	24220
1480	10190	24212
1481	10196	24204
1482	10203	24196
1483	10209	24189
1484	10217	24184
1485	10225	24179
1486	10234	24178
1487	10241	24171
1488	10247	24164
1489	10255	24159
1490	10262	24151
1491	10269	24144
1492	10275	24137
1493	10282	24130
1494	10289	24123
1495	10295	24115
1496	10302	24107
1497	10309	24100
1498	10315	24092
1499	10322	24085
1500	10328	24077
1501	10335	24069
1502	10341	24061
1503	10348	24055
1504	10355	24047
1505	10361	24040
1506	10368	24032
1507	10374	24024
1508	10381	24017
1509	10388	24009
1510	10394	24002
1511	10401	23995
1512	10408	23987
1513	10414	23979
1514	10421	23971
1515	10427	23964
1516	10434	23956
1517	10440	23948
1518	10447	23941
1519	10453	23933
1520	10460	23925
1521	10466	23917
1522	10473	23911
1523	10480	23904
1524	10487	23897
1525	10493	23889
1526	10500	23882
1527	10506	23874
1528	10513	23866
1529	10519	23858
1530	10526	23850
1531	10533	23843
1532	10539	23836
1533	10548	23834
1534	10555	23827
1535	10562	23820
1536	10569	23813
1537	10575	23805
1538	10582	23797
1539	10588	23790
1540	10595	23783
1541	10601	23775
1542	10608	23767
1543	10614	23759
1544	10621	23751
1545	10628	23745
1546	10635	23738
1547	10641	23730
1548	10648	23723
1549	10654	23715
1550	10661	23707
1551	10668	23702
1552	10675	23694
1553	10681	23687
1554	10688	23680
1555	10695	23674
1556	10702	23667
1557	10709	23659
1558	10729	23682
1559	10737	23676
1560	10744	23671
1561	10753	23667
1562	10760	23661
1563	10767	23655
1564	10775	23651
1565	10783	23646
1566	10790	23640
1567	10797	23634
1568	10804	23626
1569	10811	23619
1570	10817	23611
1571	10824	23603
1572	10830	23596
1573	10837	23589
1574	10844	23582
1575	10850	23574
1576	10857	23566
1577	10863	23559
1578	10870	23551
1579	10877	23544
1580	10883	23537
1581	10890	23530
1582	10897	23523
1583	10904	23516
1584	10911	23509
1585	10917	23501
1586	10924	23493
1587	10931	23486
1588	10937	23479
1589	10944	23472
1590	10950	23464
1591	10957	23457
1592	10964	23449
1593	10970	23441
1594	10977	23434
1595	10983	23426
1596	10990	23419
1597	10996	23411
1598	11003	23403
1599	11009	23395
1600	11016	23387
1601	11023	23381
1602	11029	23374
1603	11036	23366
1604	11043	23359
1605	11050	23353
1606	11057	23346
1607	11064	23340
1608	11071	23333
1609	11079	23328
1610	11086	23322
1611	11093	23314
1612	11099	23307
1613	11106	23300
1614	11113	23292
1615	11119	23285
1616	11126	23278
1617	11133	23270
1618	11139	23263
1619	11146	23256
1620	11153	23250
1621	11160	23243
1622	11167	23237
1623	11174	23229
1624	11181	23222
1625	11188	23215
1626	11195	23209
1627	11201	23201
1628	11208	23193
1629	11214	23186
1630	11223	23184
1631	11234	23184
1632	11242	23179
1633	11250	23176
1634	11259	23172
1635	11266	23167
1636	11273	23160
1637	11281	23155
1638	11288	23148
1639	11295	23142
1640	11302	23135
1641	11309	23127
1642	11316	23121
1643	11323	23114
1644	11329	23107
1645	11336	23099
1646	11342	23092
1647	11349	23084
1648	11356	23077
1649	11363	23070
1650	11369	23063
1651	11376	23055
1652	11382	23048
1653	11389	23040
1654	11396	23033
1655	11402	23025
1656	11409	23018
1657	11416	23011
1658	11422	23003
1659	11429	22996
1660	11435	22988
1661	11442	22981
1662	11448	22973
1663	11455	22966
1664	11462	22958
1665	11468	22951
1666	11475	22943
1667	11481	22936
1668	11488	22928
1669	11495	22921
1670	11501	22913
1671	11508	22906
1672	11514	22898
1673	11521	22892
